title,link,date,price,housing,housing_category,city_area,housing_type,housing_state,living_area,land_area,price_per_meter,ad_id,lat,long
"NOVÁ SUPER CENA - JAZERO - LEVOČSKÁ  2 IZBOVÝ BYT 42 M2, LODŽIA, SKRINE NA CHODBE, TV, INTERNET.",https://www.nehnutelnosti.sk/5083521/nova-super-cena-jazero-levocska-2-izbovy-byt-42-m2-lodzia-skrine-na-chodbe-tv-internet/,16.04.2023,115000,Byty,2 izbový byt,Košice IV - Nad jazerom,Predaj,Kompletná rekonštrukcia,42,0,2738.10,5083521,48.68699708,21.28552678
KUZMÁNYHO - BRANISKOVÁ KOMPLETNE ZREKONŠTRUOVANÝ 2 IZBOVÝ BYT V TOP LOKALITE 52 M2 S LODŽIOU.,https://www.nehnutelnosti.sk/5083268/kuzmanyho-braniskova-kompletne-zrekonstruovany-2-izbovy-byt-v-top-lokalite-52-m2-s-lodziou/,16.04.2023,165000,Byty,2 izbový byt,Košice I - Staré Mesto,Predaj,Kompletná rekonštrukcia,52,0,3173.08,5083268,48.7263039,21.24440166
4-IZB - BYT KE. POŠTOVÁ,https://www.nehnutelnosti.sk/4957692/4-izb-byt-ke-postova/,16.04.2023,540000,Byty,4 izbový byt,Košice I - Staré Mesto,Predaj,Kompletná rekonštrukcia,110,0,4909.09,4957692,48.7225184,21.2527668
3-izbový zariadený byt po kompletnej rekonštrukcii,https://www.nehnutelnosti.sk/5076375/3-izbovy-zariadeny-byt-po-kompletnej-rekonstrukcii/,13.04.2023,690/mes.,Byty,3 izbový byt,Košice IV - Nad jazerom,Prenájom,Kompletná rekonštrukcia,63,0,10.95,5076375,48.680514842015,21.29437803759
3 izbový byt s balkónom v novostavbe Borovicový Háj,https://www.nehnutelnosti.sk/5072139/3-izbovy-byt-s-balkonom-v-novostavbe-borovicovy-haj/,16.04.2023,299000,Byty,3 izbový byt,Košice II - Západ,Predaj,Novostavba,"69,5",0,4302.16,5072139,48.712166,21.2272503
"2,5 izbový byt s balkónom, ul. Hroncova, Košice - Sever.",https://www.nehnutelnosti.sk/5070645/2-5-izbovy-byt-s-balkonom-ul-hroncova-kosice-sever/,16.04.2023,168990,Byty,2 izbový byt,Košice I - Sever,Predaj,Kompletná rekonštrukcia,55,0,3072.55,5070645,48.7306662,21.240751
"Pekná tehlová garsónka 23m2, Košice - Staré Mesto",https://www.nehnutelnosti.sk/5025963/pekna-tehlova-garsonka-23m2-kosice-stare-mesto/,16.04.2023,89900,Byty,Garsónka,Košice I - Staré Mesto,Predaj,Kompletná rekonštrukcia,23,0,3908.70,5025963,48.7237063,21.2534747
Pozemok v mestskej časti Košice-Lorinčík,https://www.nehnutelnosti.sk/5085411/pozemok-v-mestskej-casti-kosice-lorincik/,16.04.2023,251840,Pozemky,Pozemok pre rod. domy,Košice II - Lorinčík,Predaj,,0, 787,320,5085411,48.6894455,21.192337
Košice - Čermeľ pozemok na výstavbu RD,https://www.nehnutelnosti.sk/5085278/kosice-cermel-pozemok-na-vystavbu-rd/,16.04.2023,109000,Pozemky,Záhrada,Košice I - Sever,Predaj,,0, 806,135.24,5085278,48.753069619721,21.226088947687
Prenájom 1-izbový byt v širšom centre,https://www.nehnutelnosti.sk/5085040/prenajom-1-izbovy-byt-v-sirsom-centre/,16.04.2023,470/mes.,Byty,1 izbový byt,Košice I - Sever,Prenájom,Kompletná rekonštrukcia,42,0,11.19,5085040,48.757213902564,21.238828648835
"NOVÝ 1-IZBOVÝ BYT NA PREDAJ, 31m2, KOŠICE-TERASA (ZÁPAD)",https://www.nehnutelnosti.sk/5084174/novy-1-izbovy-byt-na-predaj-31m2-kosice-terasa-zapad/,16.04.2023,114990,Byty,1 izbový byt,Košice II - Západ,Predaj,Kompletná rekonštrukcia,"30,85",0,3727.39,5084174,48.7174215,21.22992
"Predaj, jednoizbový byt Košice Nad Jazerom - EXKLUZÍVNE HALO REALITY",https://www.nehnutelnosti.sk/5013172/predaj-jednoizbovy-byt-kosice-nad-jazerom-exkluzivne-halo-reality/,16.04.2023,96000,Byty,1 izbový byt,Košice IV - Nad jazerom,Predaj,Čiastočná rekonštrukcia,42,0,2285.71,5013172,48.6893387,21.2844601
"Predaj, trojizbový byt Košice Juh, Ostravská",https://www.nehnutelnosti.sk/5080610/predaj-trojizbovy-byt-kosice-juh-ostravska/,16.04.2023,156990,Byty,3 izbový byt,Košice IV - Juh,Predaj,Kompletná rekonštrukcia,58,0,2706.72,5080610,48.7092514,21.2570839
So súhlasom majiteľa ponúkame na predaj 3 izbový byt na sídlisku KVP,https://www.nehnutelnosti.sk/5076062/so-suhlasom-majitela-ponukame-na-predaj-3-izbovy-byt-na-sidlisku-kvp/,16.04.2023,130000,Byty,3 izbový byt,Košice II - Sídlisko KVP,Predaj,Čiastočná rekonštrukcia,69,0,1884.06,5076062,48.7164154,21.2148914
"TEHLOVÝ 3-IZBOVÝ BYT NA ŽELEZIARENSKEJ ULICI, KOŠICE-ŠACA",https://www.nehnutelnosti.sk/5076152/tehlovy-3-izbovy-byt-na-zeleziarenskej-ulici-kosice-saca/,16.04.2023,109990,Byty,3 izbový byt,Košice II - Šaca,Predaj,Kompletná rekonštrukcia,62,0,1774.03,5076152,48.6315221,21.1724662
PRAKTICKÝ 1 IZBOVÝ BYT NA TITOGRADSKEJ ULICI,https://www.nehnutelnosti.sk/5073287/prakticky-1-izbovy-byt-na-titogradskej-ulici/,16.04.2023,105600,Byty,1 izbový byt,Košice II - Sídlisko KVP,Predaj,Pôvodný stav,35,0,3017.14,5073287,48.7192782,21.2170354
"PRIESTRANNÝ, ZREKONŠTRUOVANÝ 2 - IZBÁK, S BALKÓNOM, V CENTRE",https://www.nehnutelnosti.sk/5074653/priestranny-zrekonstruovany-2-izbak-s-balkonom-v-centre/,16.04.2023,153900,Byty,2 izbový byt,Košice I - Staré Mesto,Predaj,Kompletná rekonštrukcia,55,0,2798.18,5074653,48.7305723,21.2637334
Krásny 3 izbový byt s loggiou | 77 m2 | Ťahanovce,https://www.nehnutelnosti.sk/5081899/krasny-3-izbovy-byt-s-loggiou-77-m2-tahanovce/,16.04.2023,169700,Byty,3 izbový byt,Košice I - Sídlisko Ťahanovce,Predaj,Kompletná rekonštrukcia,77,0,2203.90,5081899,48.756806201265,21.276159281281
"3 izbovy tehlovy byt, Podhradova Kosice",https://www.nehnutelnosti.sk/5081450/3-izbovy-tehlovy-byt-podhradova-kosice/,16.04.2023,209900,Byty,3 izbový byt,Košice I - Sever,Predaj,Kompletná rekonštrukcia,64,0,3279.69,5081450,48.74878504602,21.243630339395
"Exkluzívne na predaj 3 izb. byt, 64 m2, balkón, Národná trieda, Košice - Sever",https://www.nehnutelnosti.sk/5079353/exkluzivne-na-predaj-3-izb-byt-64-m2-balkon-narodna-trieda-kosice-sever/,16.04.2023,144990,Byty,3 izbový byt,Košice I - Sever,Predaj,Pôvodný stav,64,0,2265.47,5079353,48.7374704,21.2526338
Na prenájom 2-izbový byt v novostavbe Nová Terasa,https://www.nehnutelnosti.sk/5078440/na-prenajom-2-izbovy-byt-v-novostavbe-nova-terasa/,16.04.2023,640/mes.,Byty,2 izbový byt,Košice II - Západ,Prenájom,Novostavba,44,0,14.55,5078440,48.710761107308,21.231904954207
"3-izbový byt po rekonštrukcii, 80 m2, Ťahanovce",https://www.nehnutelnosti.sk/5077751/3-izbovy-byt-po-rekonstrukcii-80-m2-tahanovce/,16.04.2023,700/mes.,Byty,3 izbový byt,Košice I - Sídlisko Ťahanovce,Prenájom,Kompletná rekonštrukcia,80,0,8.75,5077751,48.75757001196,21.2727354537
Klenot v meste,https://www.nehnutelnosti.sk/5077571/klenot-v-meste/,16.04.2023,89900,Byty,Garsónka,Košice I - Staré Mesto,Predaj,Kompletná rekonštrukcia,23,0,3908.70,5077571,48.724707380321,21.253436624642
Moderny 2 izbovy byt v Novej Terase 1,https://www.nehnutelnosti.sk/5077367/moderny-2-izbovy-byt-v-novej-terase-1/,16.04.2023,210000,Byty,2 izbový byt,Košice II - Západ,Predaj,Novostavba,0,0,0,5077367,48.7236437,21.2407747
2-izbový byt Komenského - centrum Košíc,https://www.nehnutelnosti.sk/5075231/2-izbovy-byt-komenskeho-centrum-kosic/,16.04.2023,135000,Byty,2 izbový byt,Košice I - Staré Mesto,Predaj,Čiastočná rekonštrukcia,54,0,2500,5075231,48.730864869941,21.250838369118
"1,5-izbový byt, Lomonosova ul. Košice-Juh",https://www.nehnutelnosti.sk/5074435/1-5-izbovy-byt-lomonosova-ul-kosice-juh/,16.04.2023,110000,Byty,1 izbový byt,Košice IV - Juh,Predaj,Pôvodný stav,40,0,0,5074435,48.707167167259,21.249389644796
"1,5-izb. PRAZSKY byt (3D obhliadka)",https://www.nehnutelnosti.sk/5018896/1-5-izb-prazsky-byt-3d-obhliadka/,16.04.2023,95000,Byty,2 izbový byt,Košice IV - Nad jazerom,Predaj,Čiastočná rekonštrukcia,42,0,2261.90,5018896,48.685039897542,21.287736257321
"2 izbovy byt na sídlisku Nad Jazerom,",https://www.nehnutelnosti.sk/5071874/2-izbovy-byt-na-sidlisku-nad-jazerom/,16.04.2023,500/mes.,Byty,2 izbový byt,Košice IV - Nad jazerom,Prenájom,Kompletná rekonštrukcia,52,0,9.62,5071874,48.677008363751,21.302780334143
Krásny trojizbový byt v centre Košíc - prenájom,https://www.nehnutelnosti.sk/5071877/krasny-trojizbovy-byt-v-centre-kosic-prenajom/,16.04.2023,1000/mes.,Byty,3 izbový byt,Košice I - Staré Mesto,Prenájom,Kompletná rekonštrukcia,65,0,15.38,5071877,48.721182273365,21.260595665928
Staré mesto Kuzmányho sídlisko,https://www.nehnutelnosti.sk/5070555/stare-mesto-kuzmanyho-sidlisko/,16.04.2023,130990,Byty,2 izbový byt,Košice I - Staré Mesto,Predaj,Kompletná rekonštrukcia,41,0,3194.88,5070555,48.7263029,21.2435246
Rodinný dom Košice Barca Novostavba,https://www.nehnutelnosti.sk/5069885/rodinny-dom-kosice-barca-novostavba/,16.04.2023,398000,Domy,Rodinný dom,Košice IV - Barca,Predaj,Novostavba,195, 530,2041.03,5069885,48.680198458005,21.270762926909
NA PREDAJ romanticky ladený 2izb.byt v novostavbe Na Hore,https://www.nehnutelnosti.sk/5077314/na-predaj-romanticky-ladeny-2izb-byt-v-novostavbe-na-hore/,16.04.2023,145000,Byty,2 izbový byt,Košice III - Dargovských Hrdinov,Predaj,Novostavba,0, 57,2543.86,5077314,48.7258311,21.28858209
TROJIZBOVÝ BYT - ČINGOVSKÁ ULICA,https://www.nehnutelnosti.sk/5079721/trojizbovy-byt-cingovska-ulica/,16.04.2023,144990,Byty,3 izbový byt,Košice IV - Nad jazerom,Predaj,Čiastočná rekonštrukcia,65, 65,2230.62,5079721,48.684541,21.288166
"NA PREDAJ GARÁŽOVÉ STÁTIE V PROJEKTE PANORÁMA 5 - KOŠICE, JELŠOVÁ",https://www.nehnutelnosti.sk/5076666/na-predaj-garazove-statie-v-projekte-panorama-5-kosice-jelsova/,16.04.2023,33000,Objekty,Garáž,Košice III - Dargovských Hrdinov,Predaj,Novostavba,"12,4",0,2661.29,5076666,48.71854891,21.29350456
VEĽKÝ ŠTVORIZBOVÝ BYT V BOROVICOVOM HÁJI,https://www.nehnutelnosti.sk/5071804/velky-stvorizbovy-byt-v-borovicovom-haji/,16.04.2023,413000,Byty,4 izbový byt,Košice II - Západ,Predaj,Novostavba,150, 185,2753.33,5071804,48.724389,21.2328399
DVOJIZBOVÝ BYT NA GRUNTE KVP,https://www.nehnutelnosti.sk/5072685/dvojizbovy-byt-na-grunte-kvp/,16.04.2023,162500,Byty,2 izbový byt,Košice II - Sídlisko KVP,Predaj,Pôvodný stav,0, 49,3316.33,5072685,48.7123559,21.206121
